日本	3544
手機	3003
國際牌	2423
機車	1905
華碩	1851
電池	1848
輪胎	1777
飛利浦	1730
冰箱	1711
除濕機	1672
手錶	1625
電視	1623
美國	1575
洗衣機	1570
日立	1511
韓國	1413
筆電	1372
德國	1309
不鏽鋼	1287
熱水器	1271
黑色	1258
三星	1250
櫻花	1240
耳機	1211
冷氣	1185
多功能	1162
外套	1120
聲寶	1076
兒童	1068
大潤發	1043
防水	1040
象印	1013
汽車	973
電動	969
大同	961
吸塵器	918
行李箱	903
東元	891
電子	888
咖啡	854
禮盒	853
後背包	836
瓦斯爐	835
皮套	832
三洋	825
蘋果	825
無線	823
光陽	808
雙人	800
手機殼	767
相機	764
台灣	760
吹風機	754
平板	752
空氣清淨機	725
歌林	695
迷你	683
國際	680
香水	670
經典	649
玻璃	646
白色	638
原廠	635
行動電源	626
面膜	618
鍋寶	616
背包	610
液晶電視	610
櫻花牌	603
電腦	595
米其林	592
膠囊	581
小米	573
巧克力	567
咖啡機	566
喇叭	564
烤箱	564
羅技	558
奶粉	553
洗髮精	552
天然	548
項鍊	547
玩具	547
禾聯	544
專用	537
有機	532
保溫杯	528
陶瓷	528
顯示卡	528
虎牌	522
溫泉	504
手套	503
記憶卡	500
法國	494
床墊	493
餐券	488
濾心	482
膳魔師	478
三菱	478
收納	469
迪士尼	462
嬰兒	460
繽紛	456
華為	453
藍色	453
桂格	451
手環	451
三陽	448
造型	446
運動	446
螢幕	442
黃金	442
液晶	440
不銹鋼	440
電暖器	435
電子鍋	435
鍵盤	431
乳液	428
藍芽	427
創見	426
眼鏡	426
飲水機	423
手鍊	423
時尚	422
保溫瓶	419
自動	416
烘碗機	415
林內	411
車用	411
保溫	409
充電器	408
上衣	408
燈泡	406
硬碟	405
頂級	404
紅色	402
英國	401
屈臣氏	398
尿布	396
安全帽	395
隨身碟	395
牙刷	393
濾網	391
義大利	391
單人	388
智慧	387
充電	387
自行車	385
技嘉	384
電鍋	381
電熱水器	378
變頻	378
全聯	376
炒鍋	376
資生堂	373
行車紀錄器	373
山葉	373
機油	372
大金	372
洗衣精	369
主機	367
環保短袖	366
保護貼	366
滑鼠	362
套組	361
水壺	360
牙膏	360
馬桶	358
惠而浦	357
奇美	355
行動	352
牛頭牌	350
鏡頭	350
內衣	349
保護套	349
萬用	347
口袋	346
透明	343
真皮	343
長夾	343
健康	343
微波爐	343
卡西歐	341
拖鞋	335
腳踏車	335
空機	334
衛生紙	334
精工	333
酵素	332
折疊	332
行車記錄器	331
鋁合金	330
洋裝	329
伊萊克斯	329
韓版	328
熱水瓶	328
床包	327
皮夾	327
背心	327
麥克風	327
精油	324
雙層	322
睡袋	322
積木	321
高雄	321
補充包	321
加大	319
喜特麗	318
雨衣	318
尚朋堂	317
普利司通	317
支架	316
抱枕	316
置物架	315
收納櫃	313
廚房	313
電源	312
收納盒	312
桌上型	310
樂高	309
矽膠	308
萬寶龍	307
鐵三角	307
專業	307
長褲	306
口罩	306
紅外線	306
日式	305
攪拌機	305
玫瑰金	305
和成	302
奶油	302
娃娃	301
寵物	301
內褲	301
縫紉機	300
收納袋	300
衣架	300
沐浴乳	299
主機板	299
地墊	298
星辰	297
亞培	295
雀巢	293
風扇	293
葉黃素	293
快煮壺	292
收納箱	292
負離子	291
精華	290
晶工	289
義美	289
寶寶	288
彩色	287
星星	286
音響	285
夏普	285
統一	284
玫瑰	283
皇家	282
坐墊	281
妙管家	280
刮鬍刀	280
浴室	279
藍牙	279
推車	278
毛巾	278
血壓	277
防潑水	276
莊頭北	276
遠紅外線	275
舒潔	275
印表機	275
冷凍櫃	274
好市多	274
平底鍋	274
東芝	273
粉紅	272
手提	271
原味	271
真愛密碼	268
維他命	268
投影機	268
三層	267
人份	267
遙控器	266
鑰匙圈	266
斜背包	266
套裝	264
保濕	264
工具	263
休閒鞋	263
晶工牌	261
太陽眼鏡	261
綁帶	261
瓦斯	260
吊飾	259
保護殼	259
馬克杯	259
皮帶	259
兩用	257
空氣	256
澳洲	256
保暖	255
按摩	255
馬牌	255
果汁機	253
米奇	253
件組	253
康是	253
比較	253
台中	253
食品	253
英文	253
數位	252
環保	252
攝影機	251
護手霜	250
天使霓裳	250
攜帶	250
耳環	250
沙發	249
麵包	249
餅乾	248
金屬	247
櫻桃	247
微星	247
智能	247
配件	247
圍巾	245
伸縮	245
台糖	244
安全	244
新款	243
托特包	243
鑰匙	243
噴霧	243
奶瓶	243
遊戲	242
中古	242
摺疊	241
滿意寶寶	240
北方	240
大家源	239
品牌	238
氣墊	238
法蘭絨	237
女款	237
洗面乳	237
電話	236
小獅王辛巴	235
淨水器	234
電冰箱	234
鋼筆	234
智慧型	234
旅行	233
化妝水	233
富士	232
女錶	232
涼鞋	232
北歐	232
帆布	232
曲線	232
施巴	232
法拉利	231
掃地機器人	231
實木	230
慢跑鞋	230
連帽	229
盒裝	229
手工	229
多少	228
優生	228
隨身	226
金士頓	226
塑膠	226
